的	的 的话 的确
一	一 一个 一定 一些 一般 一样
了	了 了解 了不起
是	是 是否 是不是 是的 是以 是非
不	不 不能 不是 不同 不仅 不过
我	我 我们 我国 我军 我俩 我们俩
这	这 这个 这样 这些 这里 这时
在	在 在于 在内 在家 在场 在外
人	人 人们 人民 人类 人物 人员
有	有 有些 有关 有的 有人 有时
他	他 他们 他人 他俩 他家 他妈的
来	来 来说 来到 来看 来自 来源
个	个 个人 个体 个别 个性 个体经济
道	道 道德 道路 道理 道教 道士
你	你 你们 你们俩
大	大 大家 大量 大小 大学 大大
到	到 到了 到底 到处 到达 到来
着	着 着重 着急 着手 着呢 着想
就	就 就是 就要 就是说 就业 就算
上	上 上海 上面 上述 上去 上升
那	那 那么 那些 那个 那样 那里
也	也 也是 也许 也就是 也就是说 也好
说	说 说明 说话 说过 说法 说道
下	下 下来 下去 下面 下降 下午
出	出 出来 出现 出去 出发 出口
然	然 然后 然而
地	地 地方 地区 地位 地球 地上
中	中 中国 中心 中央 中间 中国共产党
看	看 看到 看见 看来 看出 看法
时	时 时候 时间 时期 时代 时刻
要	要 要求 要是 要素 要不 要紧
没	没 没有 没想到 没人 没法 没什么
天	天 天气 天津 天空 天下 天然
过	过 过程 过去 过来 过渡 过多
可	可 可以 可能 可是 可见 可以说
自	自 自己 自然 自由 自身 自我
子	子 子女 子弹 子孙 子弟 子宫
能	能 能够 能力 能量 能源 能否
还	还 还是 还有 还要 还不是 还原
之	之 之间 之后 之一 之中 之外
以	以 以后 以及 以上 以前 以来
去	去 去年 去世 去过 去掉 去路
好	好 好象 好像 好好 好处 好几
后	后 后来 后面 后者 后果 后期
为	为 为了 为什么 为主 为此 为止
都	都 都会 都市 都督
会	会 会议 会上 会计 会见 会场
里	里 里面 里边 里头 里根
心	心 心理 心里 心情 心理学 心中
得	得 得到 得出 得了 得以 得意
对	对 对于 对象 对方 对立 对待
身	身 身体 身上 身子 身边 身份
手	手 手段 手里 手中 手术 手法
起	起 起来 起义 起源 起到 起伏
小	小 小时 小说 小组 小学 小姐
想	想 想到 想起 想象 想法 想不到
只	只 只有 只是 只要 只能 只好
而	而 而且 而是 而已 而后 而言
和	和 和平 和谐 和尚 和气 和睦
头	头 头上 头发 头脑 头部 头顶
她	她 她们
无	无 无产阶级 无法 无论 无数 无限
力	力 力量 力学 力气 力求 力图
面	面 面前 面积 面对 面貌 面临
如	如 如果 如何 如此 如今 如下
现	现 现在 现象 现代 现实 现代化
什	什 什么 什么样
样	样 样子 样品 样式 样儿 样本
多	多 多少 多么 多种 多数 多次
已	已 已经 已知
知	知 知道 知识 知识分子 知觉 知名
经	经 经济 经过 经验 经营 经常
声	声 声音 声明 声响 声调 声波
前	前 前面 前进 前提 前后 前者
神	神 神经 神秘 神话 神情 神圣
笑	笑 笑容 笑声 笑话 笑脸 笑嘻嘻
事	事 事情 事物 事实 事业 事件
开	开 开始 开展 开发 开放 开会
点	点 点头 点点头 点燃 点着 点心
方	方 方面 方法 方向 方式 方针
眼	眼 眼睛 眼前 眼泪 眼光 眼里
发	发 发展 发生 发现 发挥 发出
所	所 所以 所谓 所有 所在 所有制
但	但 但是 但愿
气	气 气候 气体 气温 气氛 气象
法	法 法律 法国 法制 法院 法规
意	意 意义 意见 意识 意思 意志
情	情 情况 情绪 情感 情形 情节
两	两 两者 两边 两国 两侧 两端
生	生 生产 生活 生命 生长 生物
家	家 家庭 家里 家伙 家乡 家长
间	间 间接 间隔 间隙 间断 间谍
将	将 将来 将军 将要 将近 将于
很	很 很多 很快 很少 很久 很有
真	真 真正 真的 真实 真理 真诚
话	话 话语 话剧 话题 话筒 话音
成	成 成为 成功 成立 成果 成分
让	让 让步 让给
被	被 被动 被迫 被子 被告人 被告
老	老 老师 老人 老头 老婆 老爷
动	动 动物 动作 动力 动机 动员
当	当 当时 当然 当前 当地 当作
用	用 用于 用来 用力 用不着 用以
于	于 于是 于右任
见	见 见到 见过 见面 见解 见于
回	回 回来 回答 回到 回家 回去
又	又 又是 又称 又名
军	军 军事 军队 军阀 军人 军官
把	把 把握 把戏
此	此 此外 此时 此后 此刻 此种
才	才 才能 才是 才行 才华 才干
几	几 几个 几乎 几十 几百 几千
战	战 战争 战士 战斗 战略 战胜
正	正 正确 正在 正是 正常 正式
龙	龙 龙国正 龙头 龙王
明	明 明显 明白 明确 明天 明亮
从	从 从而 从事 从来 从此 从前
却	却 却是 却说
长	长 长期 长江 长大 长度 长短
十	十 十分 十二 十一 十五 十九
三	三 三十 三角形 三中全会 三百 三千
女	女 女人 女儿 女子 女性 女士
光	光 光荣 光线 光辉 光明 光合作用
再	再 再也 再说 再次 再现 再生产
向	向 向前 向上 向着 向往 向来
实	实 实现 实际 实行 实践 实验
最	最 最后 最大 最近 最高 最好
行	行 行为 行动 行政 行业 行星
高	高 高兴 高度 高级 高低 高温
本	本 本身 本质 本来 本人 本领
打	打 打开 打击 打破 打算 打倒
定	定 定律 定义 定理 定额 定期
进	进 进行 进一步 进入 进步 进来
魔	魔 魔鬼 魔术师
风	风 风格 风俗 风险 风景 风暴
给	给 给予 给以 给出
问	问 问题 问道 问世 问候 问起
国	国 国家 国际 国民经济 国民党 国内
色	色 色彩 色素 色泽 色光 色调
同	同 同时 同志 同样 同学 同一
种	种 种子 种类 种植 种种 种族
走	走 走到 走进 走向 走出 走去
其	其 其他 其中 其它 其实 其次
年	年 年代 年轻 年龄 年前 年纪
口	口 口号 口气 口袋 口腔 口语
王	王 王朝 王国 王子 王明 王宫
怎	怎 怎么 怎样 怎么样 怎么办 怎能
边	边 边缘 边界 边境 边疆 边区
次	次 次数 次要 次序 次日 次年
全	全 全国 全部 全面 全体 全身
白	白 白色 白天 白云 白白 白纸
儿	儿 儿童 儿子 儿女 儿童文学
感	感 感到 感情 感觉 感染 感受
果	果 果然 果实 果树 果断 果园
听	听 听到 听说 听见 听得 听取
啊	啊 啊呀
体	体 体系 体现 体制 体育 体积
外	外 外国 外面 外部 外界 外交
死	死 死亡 死去 死后 死者 死刑
飞	飞 飞机 飞行 飞跃 飞到 飞船
分	分 分析 分别 分子 分布 分之
主	主 主要 主张 主义 主任 主体
觉	觉 觉得 觉悟 觉察 觉醒
住	住 住宅 住房 住在 住所 住处
少	少 少数 少年 少量 少数民族 少女
比	比 比较 比例 比赛 比如 比重
空	空 空气 空间 空中 空前 空军
因	因 因为 因此 因素 因而 因果
门	门 门口 门外 门前 门类 门户
等	等 等等 等于 等待 等到 等级
轻	轻 轻轻 轻松 轻工业 轻易 轻视
直	直 直接 直到 直线 直径 直觉
第	第 第一 第二 第三 第一次 第四
候	候 候选人
脸	脸 脸上 脸色 脸孔 脸蛋 脸颊
相	相 相同 相互 相当 相对 相信
强	强 强调 强烈 强度 强大 强迫
何	何 何况 何必 何以 何处 何等
张	张 张开 张学良 张作霖 张望 张口
快	快 快乐 快速 快要 快活 快去
做	做 做到 做好 做出 做法 做得
重	重 重要 重大 重视 重新 重点
与	与 与此同时 与其 与其说 与会
太	太 太阳 太太 太平洋 太多 太空
应	应 应该 应当 应用 应有 应付
刚	刚 刚才 刚刚 刚好
接	接 接受 接着 接触 接近 接过
位	位 位置 位于 位移
便	便 便是 便于 便宜 便利 便衣
量	量 量子力学 量子 量变
更	更 更加 更为 更是 更新 更有
难	难 难道 难以 难过 难得 难免
名	名 名字 名称 名词 名叫 名义
二	二 二十 二氧化碳 二者 二百 二十五
内	内 内容 内部 内在 内心 内地
连	连 连续 连忙 连接 连长 连队
水	水 水平 水分 水中 水里 水面
西	西 西方 西北 西南 西部 西欧
黑	黑 黑暗 黑色 黑格尔 黑龙江 黑人
马	马 马上 马克思主义 马克思 马路 马克思列宁主义
部	部 部门 部分 部队 部位 部长
入	入 入党 入手 入侵 入学 入伍
作	作 作用 作为 作品 作出 作家
兵	兵 兵力 兵士 兵团
师	师 师傅 师长 师生 师范 师资
虽	虽 虽然 虽说 虽则
别	别 别人 别的 别说 别看 别处
击	击 击败 击中
放	放 放下 放心 放出 放弃 放到
完	完 完全 完成 完整 完善 完了
四	四 四十 四人帮 四周 四川 四边形
灵	灵 灵魂 灵活 灵感 灵敏 灵活性
公	公 公司 公民 公里 公社 公开
并	并 并不 并且 并不是 并非 并存
先	先 先生 先进 先后 先是 先天
处	处 处理 处于 处在 处处 处境
士	士 士兵 士大夫
算	算 算是 算了 算出 算术 算什么
东	东 东西 东北 东方 东部 东南
机	机 机关 机会 机构 机械 机器
微	微 微笑 微微 微观 微生物 微弱
城	城 城市 城里 城镇 城乡 城内
火	火 火车 火箭 火焰 火柴 火星
变	变 变化 变成 变为 变动 变革
叫	叫 叫做 叫人 叫声 叫作 叫道
清	清 清楚 清晰 清醒 清朝 清晨
带	带 带来 带有 带领 带动 带到
杀	杀 杀死 杀人 杀害 杀菌
斯	斯 斯大林
李	李 李宗仁 李鹏 李大钊 李鸿章 李时珍
队	队 队伍 队长 队员 队里
云	云 云南 云雾 云层 云彩 云集
望	望 望远镜 望去 望见
原	原 原则 原来 原因 原子 原理
竟	竟 竟然 竟是
像	像 像是
惊	惊 惊人 惊讶 惊奇 惊异 惊醒
安	安 安排 安全 安慰 安静 安装
山	山 山东 山区 山上 山坡 山地
星	星 星期 星星 星期天 星际 星系
海	海 海洋 海水 海上 海面 海底
月	月 月亮 月份 月球 月光 月初
加	加 加强 加以 加工 加上 加入
金	金 金属 金融 金钱 金刚石 金牌
目	目 目的 目前 目标 目光 目的地
特	特 特别 特点 特征 特殊 特性
跟	跟 跟着 跟前 跟随 跟踪 跟上
场	场 场面 场所 场合 场上 场地
林	林 林彪 林业 林木 林子 林场
由	由 由于 由此 由此可见 由得 由衷
万	万 万物 万一 万分 万万 万里
美	美 美国 美丽 美元 美好 美术
任	任 任务 任何 任意 任命 任弼时
使	使 使用 使得 使劲 使命 使用价值
日	日 日本 日子 日益 日军 日常
立	立 立即 立刻 立场 立法 立方米
命	命 命令 命运 命题 命名 命脉
思	思 思想 思维 思考 思索 思想上
关	关 关系 关于 关心 关键 关怀
百	百 百姓 百万 百年 百分 百分比
转	转 转化 转移 转变 转身 转动
理	理 理论 理解 理想 理由 理性
常	常 常常 常见 常用 常有 常数
